id,muin_city,attraction_site,coordinates,category,review,website,phone,address,created_at,updated_at
1096,,Sacred Heart Roman Catholic Cemetery,"50.11435415110834, -97.0173180995275",Cemetery,,http://www.mhs.mb.ca/docs/sites/sacredheartcemeteryrossdale.shtml,,"449 Church Rd W #419, Saint Andrews, MB R1A 3G4, Canada",27-Jul-22,27-Jul-22
1097,,Saint Ambroise Beach Provincial Park,"50.42773982786086, -98.08319317087734",State park,4.1,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/central/ambroise.html,12049457273,"25045 85 Rd N, Saint Ambroise, MB R0H 1G0, Canada",27-Jul-22,27-Jul-22
1098,,Saint Annes Catholic Cemetery,"50.48273728249646, -96.9591608531373",Cemetery,,,,"500 Edith Ave, Petersfield, MB R0C 2L0, Canada",27-Jul-22,27-Jul-22
1099,,Saint Boniface Hospital,"49.886008491273984, -97.12484461585812",General hospital,3.2,http://www.sbgh.mb.ca/,12042338563,"409 Tache Ave, Winnipeg, MB R2H 2A6, Canada",27-Jul-22,27-Jul-22
1100,,Saint Claude Roman Catholic Cemetery,"49.68609839747789, -98.3579224857947",Cemetery,,,,"PH 240, Saint Claude, MB, Canada",27-Jul-22,27-Jul-22
1101,,Saint Claude Roman Catholic Old Cemetery,"49.69498243229254, -98.3441895761051",Cemetery,,,,"Tache St, Saint Claude, MB R0G 1Z0, Canada",27-Jul-22,27-Jul-22
1102,,Saint John The Baptist Zora Cemetery,"51.06913490659917, -96.67714045506914",Cemetery,,,,"Manitoba R0E 0Y0, Canada",27-Jul-22,27-Jul-22
1103,,Saint Michaels Cemetery,"50.519126130125514, -97.20094235437237",Cemetery,,,,"Rd 101N, Manitoba R0C 1R0, Canada",27-Jul-22,27-Jul-22
1104,,Saint Nicholas Ukrainian Orthodox Cemetery,"50.088743418734715, -96.94034944586987",Cemetery,,,,"Manitoba R1C 0C4, Canada",27-Jul-22,27-Jul-22
1105,,Saint Vital Golf Centre,"49.82376333053968, -97.0647201046086",Public golf course,4.1,http://golfmentor.ca/,12042547333,,27-Jul-22,27-Jul-22
1106,,Saint Williams Cemetery,"50.47225697200365, -97.04167409049653",Cemetery,,,,"Pawluk Rd, Manitoba R0C 2B0, Canada",27-Jul-22,27-Jul-22
1107,,Saint-Boniface Cemetery,"50.7201381195134, -97.0734652878622",Cemetery,5,http://www.cathedralestboniface.ca/,12042337304,"917 Archibald St, Winnipeg, MB R2J 3W1, Canada",27-Jul-22,27-Jul-22
1108,,Sal's Fitness,"54.776671306299725, -101.87867810800768",Fitness center,4.8,http://www.salsfitness.ca/,12046875811,"68 Main St suite b, Flin Flon, MB R8A 1J8, Canada",27-Jul-22,27-Jul-22
1109,,Salvation Army (The),"54.77790826686423, -101.84433641079802",Church,5,https://salvationarmy.ca/blog/salvation-army-in-europe-provides-hope-in-desperate-times/,12046877812,"3 Hemlock Dr, Flin Flon, MB R8A 1S6, Canada",27-Jul-22,27-Jul-22
1110,,Sam Southern Arena,"49.88479146743832, -97.13725091329894",Arena,37,,12049864926,"625 OSBORNE ST S, Winnipeg, MB R3L 2B3, Canada",27-Jul-22,27-Jul-22
1111,,Sand Hills Casino,"50.00078324111893, -99.272997238574",Casino,4.2,http://www.sandhillscasino.com/,18553707263,"777 Sand Hills Drive, Carberry, MB R0K 0H0, Canada",27-Jul-22,27-Jul-22
1112,,Sandy Bar Beach,"50.9868041264589, -96.93065474110954",Beach,4.5,,12043782367,"329 Rd, Riverton, MB R0C 2R0",27-Jul-22,27-Jul-22
1113,,Sandy Bar Fishing Club,"50.98680480393407, -96.93004000731574",Fishing club,,,,"329 Rd, Riverton, MB R0C 2R0",27-Jul-22,27-Jul-22
1114,,Sandy Bay Arena (Howard Starr Civic Centre),"50.548753604266224, -98.64950204156388",Arena,4.5,http://www.sandybayfirstnation.com/,12048433853,"194 Townsite Bay, Marius, MB R0H 0T0",27-Jul-22,27-Jul-22
1115,,Sandy Bottom,"47.544799895677265, -52.695870666247416",Swimming lake,4.5,,,"St. John's, NL A1C 5H2, Canada",27-Jul-22,27-Jul-22
1116,,Sandy Hook Beach,"50.54490389360621, -96.98074750217066",Park,3.6,,,"10 Ave, Sandy Hook, MB R0C",27-Jul-22,27-Jul-22
1117,,Sandy Hook Golf Club,"51.19917131267455, -96.90968792185707",Public golf course,4.6,https://sandyhookgolf.webs.com/,12043895466,"71 Clubhouse Rd, Sandy Hook, MB R0C 2W0, Canada",27-Jul-22,27-Jul-22
1118,,Sapton Cemetery,"50.15776972155001, -96.73404362943305",Cemetery,,,,"33023 Sapton Rd 69N, Sapton, MB R0E 0Y0, Canada",27-Jul-22,27-Jul-22
1119,,SAR Sport and Recreation,"49.88074409745585, -99.93986952287568",Motorsports store,4.8,https://www.sarsteinbach.com/index-brandon.asp,18337251117,"1620 1st St N, Brandon, MB R7C 1A4, Canada",27-Jul-22,27-Jul-22
1120,,Sargent Park Arena,"49.91160194925778, -97.17624818439708",Arena,3.7,https://winnipeg.ca/cms/recreation/facilities/arenas/sargentpark.stm,,"1111 Wall St, Winnipeg, MB R3E 2S1, Canada",27-Jul-22,27-Jul-22
1121,,Saskatoon Minor Softball League,"52.15724859983528, -106.59468547238075",Softball club,3,http://smsl.ca/,13063745155,"2205 Mceown Ave, Saskatoon, SK S7J 3L4, Canada",27-Jul-22,27-Jul-22
1122,,SBC Office,"54.76979562948162, -101.87647179927053",Camp,4,http://www.bombers.ca/,12046874404,"35 Main St #206, Flin Flon, MB R8A 1J7, Canada",27-Jul-22,27-Jul-22
1123,,Scarehouse Windsor,"45.14289397321457, -83.55058989851278",Haunted house,4.3,http://www.scarehousewindsor.com/,15199813845,"1441 McDougall St, Windsor, ON N9A 1B7, Canada",27-Jul-22,27-Jul-22
1124,,Scheel's Art Gallery,"50.14482469774215, -96.87347787248642",Artist,5,,12042050232,"382 Main St, Selkirk, MB R1A 1T8, Canada",27-Jul-22,27-Jul-22
1125,,"Schist Creek Lot 17 Flin Flon, Manitoba Canada","54.708334661703525, -101.76744225070868",Tourist attraction,,,12046875121,"Creekside Dr, Manitoba R0B 0C0, Canada",27-Jul-22,27-Jul-22
1126,,School of Art Gallery - University of Manitoba,"50.11990698682436, -97.3949131780533",Art gallery,4.3,https://umanitoba.ca/schools/art/gallery/index.html,12044749322,"180 Dafoe Rd W, Winnipeg, MB R3T 2N2, Canada",27-Jul-22,27-Jul-22
1127,,Science Gallery at The Manitoba Museum,"49.924864788841376, -97.13344167694633",Museum,4.4,https://manitobamuseum.ca/visit/science-gallery,12049562830,"190 Rupert Ave, Winnipeg, MB R3B 0N2, Canada",27-Jul-22,27-Jul-22
1128,,Scotiabank Theatre Winnipeg,"49.887607773151, -97.20003341565287",Movie theater,4.2,https://www.cineplex.com/Theatre/scotiabank-theatre-winnipeg,12047741001,"817 St James St, Winnipeg, MB R3G 3L3",27-Jul-22,27-Jul-22
1129,,Scotswood Links,"49.679067362852706, -98.01634466000955",Public golf course,4.5,https://scotswoodlinks.com/,18886004653,"24084 MB-2, Elm Creek, MB R0G 0N0",27-Jul-22,27-Jul-22
1130,,Scott Creek Campground,"51.50023629597415, -99.57060558833464",Campground,5,,,"Unnamed Road, Wasagaming, MB R0J 2H0, Canada",27-Jul-22,27-Jul-22
1131,,Scream Town,"46.157004981844544, -93.85071004199287",Haunted house,4.6,http://www.screamtown.com/,18883177308,"7410 US-212, Chaska, MN 55318, United States",27-Jul-22,27-Jul-22
1132,,Second Chance Car Museum,"49.629423807226715, -98.70144648139794",Museum,4.8,,12042080526,"Railway avenue and, Vanzile St, Treherne, MB R0G 2V0",27-Jul-22,27-Jul-22
1133,,Secord-Crowe Greenhouses,"51.1398832258233, -100.03342974061327",Greenhouse,4.8,,12046387464,"725 Whitmore Ave E, Dauphin, MB R7N 2V1, Canada",27-Jul-22,27-Jul-22
1134,,Seine River Greenway’s Trail,"50.30068794100022, -97.0210280608371",Hiking area,4.7,http://www.winnipegtrails.ca/celebrate-trails-day/seine-river-greenway/,12049864966,"650 Shorehill Dr, Winnipeg, MB, Canada",27-Jul-22,27-Jul-22
1135,,Selkirk,"50.223353217299426, -96.84711631711723",Hiking area,5,,,"1081 River Rd, Lockport, MB R1B 1A1, Canada",27-Jul-22,27-Jul-22
1136,,Selkirk Arena,"50.16629438891806, -96.88150595822826",Arena,4.1,http://www.myselkirk.ca/,12047854950,"368 Jemima St, Selkirk, MB R1A 1X3, Canada",27-Jul-22,27-Jul-22
1137,,Selkirk Bowling Centre,"50.222083189824, -96.89493103882123",Sports complex,4.6,http://selkirkbowl.wixsite.com/selkirkbowl,12047851260,"510 Sophia St, Selkirk, MB R1A 1Z5, Canada",27-Jul-22,27-Jul-22
1138,,Selkirk Canoe and Kayak Club,"50.3036356089549, -96.88258536901648",Sports complex,4.1,,,"Dyke Walking Trail, East Selkirk, MB R0E 0M0, Canada",27-Jul-22,27-Jul-22
1139,,Selkirk Community Arts Centre,"50.23395629626071, -96.86896509418018",Arts organization,4.7,https://www.gwenfoxgallery.com/,12044824359,"250 Manitoba Ave, Selkirk, MB R1A 0Y5, Canada",27-Jul-22,27-Jul-22
1140,,Selkirk Curling Club,"50.1699725187545, -96.88043074534131",Club,4.9,http://www.selkirkcurlingclub.com/,12044826949,"381 Jemima St, Selkirk, MB R1A 0R2, Canada",27-Jul-22,27-Jul-22
1141,,Selkirk Golf & Country Club,"50.75647340050821, -97.12941447375134",Public golf course,4.3,http://www.selkirkgolfandcountryclub.com/,12044822050,"100 Sutherland Ave, Selkirk, MB R1A 0L9, Canada",27-Jul-22,27-Jul-22
1142,,Selkirk Inn & Conference Centre,"50.173079244154074, -96.9014704528745",Convention center,3.8,http://www.selkirkconferencecentre.ca/,12044827722,"162 Main St, Selkirk, MB R1A 1R3, Canada",27-Jul-22,27-Jul-22
1143,,Selkirk Memorial Hall,"50.16962008541607, -96.88277050788868",Dance hall,4,,12047854963,"376 Jemima St, Selkirk, MB R1A 1X3, Canada",27-Jul-22,27-Jul-22
1144,,Selkirk Memorial Park,"50.172678313664505, -96.87560783631025",Memorial park,3.4,http://myselkirk.ca/,,"Dufferin Ave, Selkirk, MB R1A 1C4, Canada",27-Jul-22,27-Jul-22
1145,,Selkirk Park,"50.15265658391938, -96.86562492874017",Park,4.4,http://www.myselkirk.ca/,12047854950,"486 Eveline St, Selkirk, MB R1A 1E6, Canada",27-Jul-22,27-Jul-22
1146,,Selkirk Park Boat Launch,"50.15037238292434, -96.85629565823135",Boat ramp,4.2,https://myselkirk.ca/parks/selkirk-park/,12047854950,"Queen Ave, Selkirk, MB R0E 0M0, Canada",27-Jul-22,27-Jul-22
1147,,Selkirk Park Campground,"50.308327822851176, -96.8704560536013",Campground,4,http://myselkirk.ca/parks/selkirk-park/,12044856197,"490 Eveline St, Selkirk, MB R0E 0M0, Canada",27-Jul-22,27-Jul-22
1148,,Selkirk Park Pool and Splash Pad,"50.149079908899516, -96.86045844648103",Swimming pool,4.3,http://myselkirk.ca/parks-recreation/recreation-facilities/selkirk-park-pool-splash-pad/,12047854900,"Eveline St, Selkirk, MB R1A 1E6, Canada",27-Jul-22,27-Jul-22
1149,,Selkirk Recreation Complex,"50.299710041787556, -96.91880336660292",Recreation center,4.3,http://www.myselkirk.ca/,12047854950,"180 Easton Dr, Selkirk, MB R1A 0W6, Canada",27-Jul-22,27-Jul-22
1150,,Selkirk Skatepark,"50.149822398247146, -96.86204631416389",Skateboard park,4.4,,,"Selkirk, MB R0E 0M0, Canada",27-Jul-22,27-Jul-22
1151,,Selkirk Sonics,,Sports club,,https://sites.google.com/site/selkirksonics/home,12044853645,,27-Jul-22,27-Jul-22
1152,,Selkirk Steelers Junior A Hcky,"50.54270930457346, -96.79169557817258",Hockey club,,http://www.selkirksteelers.com/,12044827020,"180 Easton Dr, Selkirk, MB R1A 0W6, Canada",27-Jul-22,27-Jul-22
1153,,Selkirk War Memorial Park,"52.590760314417025, -96.60818834674096",Memorial park,4.7,http://www.mhs.mb.ca/docs/sites/selkirkwarmemorial.shtml,,"314 Eveline St, Selkirk, MB R1A 1M7, Canada",27-Jul-22,27-Jul-22
1154,,Selkirk Water Tower,"50.1677797734491, -96.8809287557222",Historical landmark,4.4,,,"Selkirk, MB R1A 0V2, Canada",27-Jul-22,27-Jul-22
1155,,Selkirk Waterfront,"50.23450695702067, -96.85761354468272",Stage,4.5,,,"Superior Ave, Selkirk, MB R1A 1N6, Canada",27-Jul-22,27-Jul-22
1156,,Service Canada Centre,"49.19609907089475, -98.09714914310861",Federal government office,3.9,http://www.servicecanada.gc.ca/,18006226232,"158 Stephen St, Morden, MB R6M 1T3, Canada",27-Jul-22,27-Jul-22
1157,,Seton Centre,"50.016442529939745, -99.38643917606139",Art gallery,4,http://www.thesetoncentre.ca/,12048342509,"116 Main St, Carberry, MB R0K 0H0, Canada",27-Jul-22,27-Jul-22
1158,,"Settlers, Rails & Trails Inc. (Indoor Exhibitions)","50.30934275184307, -97.4598667964878",Museum,5,http://www.settlersrailsandtrails.com/,,"13 MB-322, Argyle, MB R0C 0B0, Canada",27-Jul-22,27-Jul-22
1159,,Seven Oaks Arena,"49.96612885319726, -97.13725091329894",Arena,4.6,https://www.gardencitycc.com/arena/info,12049406111,"745 Kingsbury Ave, Winnipeg, MB R2V 3H9, Canada",27-Jul-22,27-Jul-22
1160,,Seven Oaks House Museum,"50.11675252335841, -97.12545003983277",Museum,4.5,http://www.sevenoakshouse.ca/,12043397429,"50 Mac St, Winnipeg, MB R2V 4Z9, Canada",27-Jul-22,27-Jul-22
1161,,Seven Oaks performing arts centre,"49.94624186525188, -97.14469835281422",Live music venue,4.5,http://www.7oaks.org/Community/SOPAC/Pages/default.aspx#/=,12045899851,"711 Jefferson Ave, Winnipeg, MB R2V 0P7, Canada",27-Jul-22,27-Jul-22
1162,,Seven Oaks Sportsplex,"50.13309589943835, -97.10773913362716",Sports complex,,https://www.gardencitycc.com/arena/info,,"Winnipeg, MB R2V 3H9, Canada",27-Jul-22,27-Jul-22
1163,,Shaarey Zedek Cemetery,"50.823468817515085, -96.98025137810679",Cemetery,5,https://www.szwinnipeg.ca/about/cemetery,12044523711,"235 Armstrong Ave, Winnipeg, MB R2V 1P6, Canada",27-Jul-22,27-Jul-22
1164,,Shamrock Centre,"49.43113864207575, -99.65733906790176",Recreation center,4.4,http://www.killarneyrecreation.ca/,12045238920,"725 Broadway Ave, Killarney, MB R0K 1G0, Canada",27-Jul-22,27-Jul-22
1165,,Shamrock Drive In,"49.84610913421853, -99.56047792925344",Movie theater,4.2,https://m.facebook.com/pages/Shamrock-Drive-In/108562265899128,12045231827,"NW26-2-17W, Killarney, MB R0K 1G0, Canada",27-Jul-22,27-Jul-22
1166,,Shark Club Gaming Centre,"49.91568072442404, -97.14599214226962",Casino,4.1,http://sharkgamingcentre.ca/,12049572500,"233 Hargrave St, Winnipeg, MB R3C 0P1, Canada",27-Jul-22,27-Jul-22
1167,,Sharptooth Adventures,"49.19450672707292, -98.08034463494525",Children's amusement center,4.8,https://sharptooth-adventures.business.site/,14317743466,"316 Loren Dr, Morden, MB R6M 0C9, Canada",27-Jul-22,27-Jul-22
1168,,Shock House,"49.91356466505354, -97.10598078731337",Haunted house,3.5,http://theshockhouse.com/,,"367 Poplar Ave, Winnipeg, MB R2L 0K1, Canada",27-Jul-22,27-Jul-22
1169,,Shooter's Family Golf Centre and Restaurant,"49.96712481923027, -97.08353099762414",Golf course,4.4,https://www.shootersgolf.ca/,12043392326,"2731 Main St, Winnipeg, MB R2V 4T2, Canada",27-Jul-22,27-Jul-22
1170,,Shurniak Art Gallery,"49.944319411510676, -106.00485963485495",Art gallery,4.9,https://www.shurniakartgallery.ca/,13066425292,"122 3rd Ave W, Assiniboia, SK S0H 0B0, Canada",27-Jul-22,27-Jul-22
1171,,Silver Springs Park,"50.00126025585931, -97.01049186318666",Park,4.5,,,"2021 Agar Ave, East Saint Paul, MB R2E 0J8, Canada",27-Jul-22,27-Jul-22
1172,,SilverCity St. Vital Cinemas,"49.88659680001975, -97.11817545246622",Movie theater,4.3,https://www.cineplex.com/Theatre/silvercity-st-vital-cinemas,12042563901,"1225 St Mary's Rd #160, Winnipeg, MB R2M 5E5, Canada",27-Jul-22,27-Jul-22
1173,,Simplot Central Park,"49.98035029340009, -98.29367312403443",Playground,5,,,"Portage la Prairie, MB R1N 2A7",27-Jul-22,27-Jul-22
1174,,Simplot Millennium Park,"49.83125644614575, -99.8740905681583",Baseball field,4.6,http://www.brandonminorbaseball.ca/,12047273912,"14511 Richmond Ave E, Brandon, MB R7A 7L5, Canada",27-Jul-22,27-Jul-22
1175,,Sioux Valley Gaming Centre,"50.18476867345162, -100.42736066928667",Casino,4,,12048552043,"Hse 3006, Griswold, MB R0M 0S0, Canada",27-Jul-22,27-Jul-22
1176,,Sir Winston Churchill Park,"49.874182673531735, -99.94642533386606",Park,3.9,http://brandon.ca/recreation-parks/hanbury-hill,12047292186,"600 Braecrest Dr, Brandon, MB R7C 1B1, Canada",27-Jul-22,27-Jul-22
1177,,Six Pines Haunted Attractions & Petting Farm & Wedding/Corporate events Venue,"50.025285182963245, -97.27631482033223",Haunted house,4.1,http://www.sixpineshaunted.com/,12046333326,"BOX 27 B, RR 2, MB R3C 2E6",27-Jul-22,27-Jul-22
1178,,Skate Canada Manitoba,"50.05598502683866, -97.15619047705509",Association or organization,5,http://www.mbskates.ca/,12049255707,"145 Pacific Ave, Winnipeg, MB R3B 2Z6, Canada",27-Jul-22,27-Jul-22
1179,,Skinning shack,"50.148699897511776, -97.10698440863064",Hiking area,,,,"324 Almey Ave, Winnipeg, MB R3W 1P2, Canada",27-Jul-22,27-Jul-22
1180,,Sky Dancer Casino & Resort,"48.900878702154316, -99.82111886472696",Casino,3.8,http://www.skydancercasino.com/,17012442400,"3965 Sky Dancer Way NE, Belcourt, ND 58316, United States",27-Jul-22,27-Jul-22
1181,,Skydive Manitoba,"50.63646828205541, -97.04474723521108",Skydiving center,4.9,http://www.skydivemanitoba.com/,12047995867,"177 Anson St, Aspen Park, MB R0C 1B0",27-Jul-22,27-Jul-22
1182,,SLFN Splash Park,"49.38703364101235, -98.88422120996863",Water park,,,12048362101,"Unnamed Road, Swan Lake, MB R0G 2S0",27-Jul-22,27-Jul-22
1183,,Sloto Zen - the best online casino for profitability and safety in Winnipeg,"49.98249560096307, -97.17673953739525",Casino,,https://slotozen.pw/,,"1075 Portage Ave, Winnipeg, MB R3G 0R8, Canada",27-Jul-22,27-Jul-22
1184,,Snow Lake Golf Club,"57.41466604349624, -100.29347682102879",Golf club,4.4,http://www.snowlake.com/p/golf-course,12043582744,"519 Lakeshore Dr, Snow Lake, MB R0B 1M0, Canada",27-Jul-22,27-Jul-22
1185,,Snowmobilers of Manitoba: Snoman Inc. Trail,"56.35092801373744, -94.70656772330516",Off-road race track,,,,"12 Gillam Dr, Gillam, MB R0B 0L0",27-Jul-22,27-Jul-22
1186,,Softball Brandon,"49.85596649247249, -99.94992220143578",Baseball field,4.3,https://softballbrandon.com/,12047251909,"Parker Blvd, Brandon, MB R7A 7E4, Canada",27-Jul-22,27-Jul-22
1187,,Soul Gallery | Winnipeg Contemporary Art Gallery,"49.87300844779018, -97.12378210127709",Art gallery,5,http://soulgallery.ca/,12047818259,"163 Clare Ave, Winnipeg, MB R3L 1R5, Canada",27-Jul-22,27-Jul-22
1188,,Souris Glenwood Golf Course,"50.89852215223147, -100.69979212763884",Golf course,4.4,http://www.sourismanitoba.com/,12044832956,"MB-347, Souris, MB R0K 2C0, Canada",27-Jul-22,27-Jul-22
1189,,Souris Glenwood Memorial Complex,"49.73277353925557, -100.28403751030433",Ice skating rink,4.3,http://www.sourismanitoba.com/,12044833790,"27 Third Ave W, Souris, MB R0K 2C0, Canada",27-Jul-22,27-Jul-22
1190,,Souris Railway Museum,"49.807415946869085, -100.22515704959291",Museum,4.8,http://sourisrailwaymuseum.ca/,14318030074,"156 First St S, Souris, MB R0K 2C0, Canada",27-Jul-22,27-Jul-22
1191,,South Beach Casino & Resort,"50.61820701607826, -96.72416923660055",Casino,4.2,https://www.southbeachcasino.ca/,12047662100,"1 Ocean Dr, Scanterbury, MB R0E 1W0, Canada",27-Jul-22,27-Jul-22
1192,,South Transcona Community Centre,"50.30668388281398, -97.05841218914166",Community center,4.2,http://www.southtransconacc.com/,12049867976,"124 Borden Ave, Winnipeg, MB R2C 3L7, Canada",27-Jul-22,27-Jul-22
1193,,Southeast Futsal,"49.54770324178933, -96.68942123929607",Sports complex,4.2,http://southeastfutsal.ca/,12043266451,"North 50, MB-12, Steinbach, MB R5G 1T4, Canada",27-Jul-22,27-Jul-22
1194,,Southland Church,"49.97007127978261, -96.58473273521078",Christian church,4.5,http://mysouthland.com/,12043269020,"190 PTH 52 W, Steinbach, MB R5G 1Y1, Canada",27-Jul-22,27-Jul-22
1195,,Southport Golf Club,"49.90008857949771, -98.25005133297108",Golf course,4.4,http://www.southportgolfclub.ca/,12044283174,"2655 Musketeer Rd E, Southport, MB R0H 1N1",27-Jul-22,27-Jul-22
1196,,Southside Cemetery,"49.21435601039766, -98.11759294402552",Cemetery,,,,"801 Progressive Rd, Morden, MB R6M 1J5, Canada",27-Jul-22,27-Jul-22
1197,,Southside Golf Course,"51.17485911631927, -97.00838605581521",Golf course,4.3,https://www.southsidegolf.ca/,12042546709,"2226 Southside Rd, Grande Pointe, MB R5A 1K1, Canada",27-Jul-22,27-Jul-22
1198,,Southwood Golf & Country Club,"52.68890094751895, -96.60207074920514",Golf course,4.8,http://www.southwood.ca/,12042697867,"80 Rue des Ruines du Monastere, Winnipeg, MB R3V 0B1, Canada",27-Jul-22,27-Jul-22
1199,,Southwood Park Rink,"55.73647755057338, -97.86443096712901",Stadium,3.3,,,"78 Oak St, Thompson, MB R8N 1M2, Canada",27-Jul-22,27-Jul-22
1200,,Sperling Cemetery,"49.563332857176114, -97.72071547619674",Cemetery,,,,"Manitoba R0G 2M0, Canada",27-Jul-22,27-Jul-22
1201,,Spirit Sands Self-guiding Trail,"49.97678169482761, -99.3501295109163",Hiking area,4.8,,12048278850,"Manitoba R0K 0X0, Canada",27-Jul-22,27-Jul-22
1202,,Spirits Sands Lodging,"49.97033366012353, -99.27468346824743",Campground,4,,12048272607,"SW 28-7-14W, 4km north of Hwy#5 0X0, Glenboro, MB, Canada",27-Jul-22,27-Jul-22
1203,,Splash Island Water Park,"49.965914551696244, -98.29152039922036",Water park,4.4,http://www.splashisland.ca/,12048577772,"260 Royal Rd S, Portage la Prairie, MB R1N 1T3",27-Jul-22,27-Jul-22
1204,,Splash pads,"49.87768559317994, -97.40391539416858",Playground,5,,,"5353 Portage Ave, Headingley, MB R4H 1J9",27-Jul-22,27-Jul-22
1205,,Splish Splash Water Park - Morden,"49.18586385084814, -98.13740167359045",Water park,4.5,http://splishsplashwaterpark.com/,17024912860,"100 Colert Rd, Morden, MB R6M 1V3, Canada",27-Jul-22,27-Jul-22
1206,,Spooky Barn,"50.051779692077936, -96.80802391542213",Haunted house,4.5,http://spookybarn.ca/,,"28020 Zora Rd 68N, Cooks Creek, MB R0E 0K0, Canada",27-Jul-22,27-Jul-22
1207,,Sport Chek,"50.20543776705356, -96.89674606293097",Sporting goods store,4,https://www.sportchek.ca/stores/selkirk.html?utm_source=Organic%20Search&utm_medium=LSS,12047859620,"1033 Manitoba Ave, Selkirk, MB R1A 3T7, Canada",27-Jul-22,27-Jul-22
1208,,Sportsman's Corner Campground,"50.28762746627912, -98.57084976293093",Campground,4.6,http://www.sportsmanscorner.ca/,12042742015,"Westbourne, MB R0H 1P0, Canada",27-Jul-22,27-Jul-22
1209,,Sporty's RV Park and Restaurant/Pizzeria,"50.82258527708465, -99.97133536416466", Restaurant,4.4,https://www.sportsmanspark.ca/,12048482520,"545-1, MB-10, Onanole, MB R0J 1N0, Canada",27-Jul-22,27-Jul-22
1210,,Sprague & District Historical Museum,"49.25448989272855, -95.5896880427924",Museum,5,http://www.mhs.mb.ca/docs/sites/spraguemuseum.shtml,12044372210,"Box 123,, Sprague, MB, Canada",27-Jul-22,27-Jul-22
1211,,Sprinker Recreation Center,"47.798750131902466, -122.81968724651429",Recreation center,4.5,https://www.co.pierce.wa.us/1310/Sprinker-Recreation-Center,12537984000,"14824 C St S, Tacoma, WA 98444, United States",27-Jul-22,27-Jul-22
1212,,Spruce Woods Equestrian Campground,"49.835887932413044, -99.16482019230031",Campground,4.8,https://www.friendsofsprucewoods.com/equestrian-campground,12048278850,"MB-5, Manitoba R0K 0P0, Canada",27-Jul-22,27-Jul-22
1213,,Spruce Woods Provincial Park,"49.83269722342059, -99.31629897780633",State park,4.7,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/western/spruce.html,12048278851,"200 Saulteaux Crescent, Winnipeg, MB R0K 0X0, Canada",27-Jul-22,27-Jul-22
1214,,St Brigid cemetery,"48.884973926998825, -97.62792691052576",Cemetery,,,,"414 Main St E, Cavalier, ND 58220, United States",27-Jul-22,27-Jul-22
1215,,St Charles Country Club,"52.00854938072322, -97.16302507100681",Private golf course,4.3,http://www.stcharlescountryclub.ca/,12048894444,"100 Country Club Blvd, Winnipeg, MB R3K 1Z3, Canada",27-Jul-22,27-Jul-22
1216,,St Charles Rifle Range,"49.94359799794513, -97.34426838757938",Shooting range,5,http://www.manitobarifle.ca/highpower,12044882188,"Headingley, MB R4H 1C3, Canada",27-Jul-22,27-Jul-22
1217,,St Eustache Arena,"49.99151536850805, -97.7806733317016",Hockey rink,4.9,,,"10 Allarie St, Saint Eustache, MB R0H 1H0, Canada",27-Jul-22,27-Jul-22
1218,,St George's Roman Catholic Cemetery,"52.79329945965309, -97.23647296007967",Cemetery,,,,"Rd 10E, Komarno, MB R0C 1R0, Canada",27-Jul-22,27-Jul-22
1219,,St James Cemetery,"49.96903470115458, -97.18731650343285",Cemetery,5,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/47517/winnipeg-st-james-cemetery/,12047838208,"1553 Wolseley Ave W, Winnipeg, MB R3G 1H9, Canada",27-Jul-22,27-Jul-22
1220,,St James Civic Centre,"50.24363406199212, -97.25571996708383",Indoor swimming pool,4.2,http://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,18773114974,"2055 Ness Ave, Winnipeg, MB R3J 0Z2, Canada",27-Jul-22,27-Jul-22
1221,,St James Lanes & Lounge,"49.88358300763969, -97.21189570426867",Bowling alley,4.3,http://www.stjameslanes.com/,12048887586,"1805 Portage Ave, Winnipeg, MB R3J 0G2, Canada",27-Jul-22,27-Jul-22
1222,,St Jean Campground,"49.3339779331832, -97.3361579291255",Campground,4.5,,,"Manitoba R0G 1K0, Canada",27-Jul-22,27-Jul-22
1223,,St Laurent Recreation Centre,"50.47801761631673, -97.93647774987811",Recreation center,4.3,,12046462467,"Lot 825 Pth 6, MB R0C 2S0, Canada",27-Jul-22,27-Jul-22
1224,,St Volodymyr Ukrainian Museum,"49.95429482468534, -97.11221102116332",Museum,5,http://archeparchy.ca/page.php?id=23,12043387801,"233 Scotia St, Winnipeg, MB R2V 1V7, Canada",27-Jul-22,27-Jul-22
1225,,St. Adolphe Friendship Trail,"49.694857695348446, -97.12354810749976",Hiking area,4.9,,,"694 Main St, Saint Adolphe, MB R5A 1C3, Canada",27-Jul-22,27-Jul-22
1226,,St. Andrews Lock and Dam National Historic Site,"50.10788843541444, -96.9463494123545",Historical place,4.6,http://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=4441,12047573041,"St Andrews Lock and Dam, Manitoba R1A 2R4, Canada",27-Jul-22,27-Jul-22
